,pvalue,weighted_pvalue,log2FoldChange
Plekhf1,4.02E-15,5.13E-15,3.097422649
Cd82,4.06E-15,2.52E-15,1.085696724
Nmnat2,4.13E-15,3.46E-15,-3.204068901
Cnga1,4.20E-15,5.32E-15,-1.903096276
Gpr55,4.33E-15,4.26E-15,3.209452247
Mtap,4.67E-15,4.45E-15,-0.861352454
Clec2i,6.70E-15,5.25E-15,-1.164662158
Osbpl3,6.95E-15,6.63E-15,3.717654311
Grina,7.17E-15,6.82E-15,1.868300509
Zbtb10,7.16E-15,7.80E-15,-4.213667215
Prss16,9.76E-15,1.06E-14,3.618667053
Acyp1,1.01E-14,9.98E-15,-1.63183177
Nhsl1,1.04E-14,9.92E-15,-5.645188711
Plcb2,1.07E-14,9.99E-15,-1.253542939
Fnbp1,1.09E-14,6.65E-15,0.809807744
S100a11,1.14E-14,1.33E-14,1.625954539
Cd55,1.16E-14,8.76E-15,-2.071967351
Tktl1,1.33E-14,1.32E-14,4.949692944
Bzw2,1.60E-14,9.80E-15,-1.474826374
Kbtbd11,1.63E-14,9.94E-15,-1.638623112
Prss12,1.69E-14,1.66E-14,-2.392241655
Tmem189,1.73E-14,1.65E-14,0.7134958
Gm37352,1.94E-14,1.92E-14,2.614329694
Sh3pxd2a,1.96E-14,1.64E-14,-4.032208345
Aldh1b1,1.99E-14,1.97E-14,-1.453281037
Antxr2,2.00E-14,1.86E-14,1.395708351
Depdc1b,2.10E-14,2.67E-14,-2.53900337
Slc6a6,2.11E-14,2.00E-14,0.927805694
Gm20033,2.24E-14,2.14E-14,-3.133377054
Zfp422,2.26E-14,1.38E-14,-1.963148325
Hmgn2,2.31E-14,2.15E-14,-0.898664762
Tspan32,2.33E-14,1.82E-14,-2.022174001
Cyth1,2.47E-14,1.53E-14,-0.871829711
Ttc27,2.88E-14,2.25E-14,-1.056885532
Frat2,3.06E-14,2.90E-14,-1.587045036
Kcna2,3.20E-14,3.49E-14,-4.801982275
Cpne3,3.33E-14,2.61E-14,1.148219898
Ggh,3.43E-14,3.14E-14,1.334835661
Sell,3.58E-14,2.27E-14,-4.68050539
Trav14n-3,3.65E-14,3.05E-14,-2.018566022
Tha1,4.72E-14,5.15E-14,-2.031965884
Arnt2,4.83E-14,4.95E-14,7.045335617
Syne3,4.95E-14,4.88E-14,2.135969405
Klhdc2,5.21E-14,4.96E-14,-1.848981791
Ehd3,5.76E-14,3.57E-14,-1.02894147
Rmi2,6.48E-14,8.26E-14,-2.771590346
Fasl,6.52E-14,3.99E-14,2.692447674
Trib3,7.29E-14,7.48E-14,2.81716653
Pole2,7.81E-14,9.91E-14,-1.511770622
Gm47705,8.54E-14,2.32E-13,3.36950363
Auts2,9.08E-14,7.60E-14,-4.663287069
Lpgat1,9.27E-14,9.10E-14,0.866265726
Irak3,9.76E-14,1.24E-13,3.441619042
Pias3,1.04E-13,1.03E-13,1.463819048
Adgra3,1.06E-13,1.09E-13,-5.181027808
Lamc1,1.10E-13,8.66E-14,2.623414504
Rbm38,1.15E-13,1.18E-13,-1.65315644
Map7,1.19E-13,1.17E-13,-2.648164535
Rnf2,1.23E-13,1.43E-13,-1.059920797
Myo5a,1.34E-13,1.38E-13,1.486703701
Gpr83,1.37E-13,1.41E-13,-4.302066233
Itgb1,1.38E-13,8.47E-14,1.878050847
Plec,1.61E-13,9.92E-14,0.887665315
Gpr160,1.64E-13,1.62E-13,2.412384631
Ampd1,1.80E-13,1.79E-13,-3.967897173
Cmtm7,1.80E-13,1.68E-13,1.198111056
Plscr1,1.85E-13,1.13E-13,1.995960259
Trbv12-2,1.93E-13,1.46E-13,-1.398956801
Capn2,2.26E-13,1.40E-13,0.934729984
Chn2,2.37E-13,2.31E-13,2.686926951
44075,2.39E-13,1.47E-13,-0.634497637
Fndc3a,2.58E-13,3.33E-13,1.419726318
As3mt,2.67E-13,2.60E-13,-1.794213539
Susd3,2.67E-13,2.44E-13,1.983525422
Sv2c,2.89E-13,3.15E-13,2.782003569
Trip4,3.11E-13,2.84E-13,1.131114311
Psd4,3.62E-13,2.22E-13,0.936952084
H2-Oa,3.75E-13,3.85E-13,-2.745783731
Crybg3,4.02E-13,3.92E-13,2.323946039
Art2b,4.28E-13,3.81E-13,-4.682457289
