,pvalue,weighted_pvalue,log2FoldChange
Hmgn3,0.002197409,0.003613546,-1.805298119
Sugct,0.000351149,0.000577449,-1.804862094
Oasl2,3.24E-05,3.32E-05,-1.80387768
Gpr162,0.002185259,0.003593565,-1.796361687
As3mt,2.67E-13,2.60E-13,-1.794213539
Gm29336,0.001068275,0.001608783,-1.792506967
Fgfr1,7.64E-05,8.33E-05,-1.785433352
Lcn4,7.24E-18,7.14E-18,-1.780831388
Dzip1,1.79E-09,1.84E-09,-1.776649795
Cuedc1,2.03E-07,1.70E-07,-1.772362082
Gbp10,1.99E-05,2.53E-05,-1.771628356
Rftn2,5.71E-10,5.66E-10,-1.763235799
Ephb6,0.000352688,0.000265977,-1.760789804
Bach2it1,2.95E-05,2.81E-05,-1.750334919
Zcwpw1,1.70E-15,1.68E-15,-1.747721367
Dyrk4,0.000853858,0.002333007,-1.746940531
E430014B02Rik,0.000876129,0.000686785,-1.740353486
Dph5,4.84E-29,4.43E-29,-1.735038042
Hivep3,0.000842743,0.000831204,-1.728776539
Fam241a,4.68E-13,4.45E-13,-1.725722163
Dnajc6,0.002515574,0.00348386,-1.724234252
Tnfrsf10b,1.09E-05,1.39E-05,-1.723826266
Igsf3,0.000201624,0.000192069,-1.723670734
Trpm1,0.002827448,0.003080374,-1.715686272
Gramd4,5.35E-18,3.39E-18,-1.705054902
Acp5,4.03E-31,2.47E-31,-1.699783396
Nfix,0.000193491,0.000210799,-1.695743787
Maged1,3.11E-10,3.95E-10,-1.687441187
Fntb,3.20E-22,3.12E-22,-1.677493154
Plekho1,3.50E-07,4.46E-07,-1.672281538
Plat,3.14E-05,2.99E-05,-1.665118987
Ankrd24,0.000176463,0.000244387,-1.664231115
