"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"ARV1",817.318930160697,-1.55116591690739,0.141762228841743,1.39255727712188e-28,3.07414188841986e-27,"ARV1"
"TRIM67",90.3719579117833,-4.43230252037945,0.597642511644717,3.41596874382553e-15,3.48791812782439e-14,"TRIM67"
"NTPCR",1634.26444677198,-1.45134122395263,0.127939503741333,1.61394362560837e-30,3.90806078218975e-29,"NTPCR"
"PCNX2",1126.32465080069,-1.02995867920909,0.300520263474776,0.000236721881776938,0.000919790556429081,"PCNX2"
"MAP3K21",341.632338775571,-2.2714686350389,0.36356216698778,7.26402750811158e-11,5.43899979592924e-10,"MAP3K21"
"KCNK1",894.16464076408,-5.57665849258327,0.448114216130233,4.36471375206276e-37,1.40918318494476e-35,"KCNK1"
"SLC35F3",299.195654779865,-8.18801727710053,0.489069979683181,2.65156040588931e-64,2.31280318586023e-62,"SLC35F3"
"COA6-AS1",95.5342398549191,-1.53828056435703,0.27521498953643,4.51167742153785e-09,2.92579672530086e-08,"COA6-AS1"
"COA6",633.693144603831,-2.65902586662591,0.149393885316076,1.29269664427177e-71,1.37645083082668e-69,"COA6"
"TOMM20",8919.75189037238,-1.33874765634769,0.162713450816782,4.39489981454971e-17,5.0909700421423e-16,"TOMM20"
"RBM34",36.1710057732971,-1.7818823990744,0.278354323838506,2.79713887716437e-11,2.16530241919472e-10,"RBM34"
"GNG4",912.60921145641,-8.49854661344734,0.645246672239144,4.01134118924953e-41,1.5392763903218e-39,"GNG4"
